expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,local_transcript_file,video_count_for_expert,transcript_file
Jason Bay,1,Jason Bay,mvuBok0Izcw,"Motive CRO on moving up-market and leading an org of 3,000+",https://www.youtube.com/watch?v=mvuBok0Izcw,3126.0,ok,47428,"research/youtube-transcripts/jason-bay/1-mvuBok0Izcw-Motive CRO on moving up-market and leading an org of 3,000+.txt",,
Jason Bay,2,Jason Bay,cS1Nh_62D4g,"World-class enablement, AE self-sourcing, and onboarding",https://www.youtube.com/watch?v=cS1Nh_62D4g,2841.0,ok,52118,"research/youtube-transcripts/jason-bay/2-cS1Nh_62D4g-World-class enablement, AE self-sourcing, and onboarding.txt",,
Jason Bay,3,Jason Bay,jbNjUkUdeFY,From rep at ADP to CRO at Houzz with Tara Di-Cristo-Schmitt,https://www.youtube.com/watch?v=jbNjUkUdeFY,3819.0,ok,69214,research/youtube-transcripts/jason-bay/3-jbNjUkUdeFY-From rep at ADP to CRO at Houzz with Tara Di-Cristo-Schmitt.txt,,
Jason Bay,4,Jason Bay,o7Tc5n8LrU8,Scaling unconventional outbound with Sr Dir of Sales Development at Rippling,https://www.youtube.com/watch?v=o7Tc5n8LrU8,3327.0,ok,64301,research/youtube-transcripts/jason-bay/4-o7Tc5n8LrU8-Scaling unconventional outbound with Sr Dir of Sales Development at Rippling.txt,,
Jason Bay,5,Jason Bay,dzeS1HGBxIE,“Our BDR booked 7 meetings yesterday” with Paul Salamanca,https://www.youtube.com/watch?v=dzeS1HGBxIE,3280.0,ok,57859,research/youtube-transcripts/jason-bay/5-dzeS1HGBxIE-“Our BDR booked 7 meetings yesterday” with Paul Salamanca.txt,,
Jason Bay,6,Jason Bay,YdrknrnFWVU,Get reps to drop their guard,https://www.youtube.com/watch?v=YdrknrnFWVU,51.0,ok,959,research/youtube-transcripts/jason-bay/6-YdrknrnFWVU-Get reps to drop their guard.txt,,
Jason Bay,7,Jason Bay,m-TPpWzqPJU,"Disagree and commit, then learn",https://www.youtube.com/watch?v=m-TPpWzqPJU,39.0,ok,782,"research/youtube-transcripts/jason-bay/7-m-TPpWzqPJU-Disagree and commit, then learn.txt",,
Armand Farrokh,1,30 Minutes to President's Club,LbcfLsCYPuM,Negotiation Masterclass: 32 Minutes of Proven Negotiation Tactics (B2B Sales),https://www.youtube.com/watch?v=LbcfLsCYPuM,1959.0,ok,33403,research/youtube-transcripts/armand-farrokh/1-LbcfLsCYPuM-Negotiation Masterclass 32 Minutes of Proven Negotiation Tactics (B2B Sales).txt,,
Armand Farrokh,2,30 Minutes to President's Club,AtO39nkL0Io,The Top 5 Sales Scripts To Handle ANY Pricing Objection,https://www.youtube.com/watch?v=AtO39nkL0Io,1859.0,ok,32105,research/youtube-transcripts/armand-farrokh/2-AtO39nkL0Io-The Top 5 Sales Scripts To Handle ANY Pricing Objection.txt,,
Armand Farrokh,3,30 Minutes to President's Club,x5Gup2UTCSQ,Become Dangerously Good At Negotiation,https://www.youtube.com/watch?v=x5Gup2UTCSQ,2070.0,ok,37761,research/youtube-transcripts/armand-farrokh/3-x5Gup2UTCSQ-Become Dangerously Good At Negotiation.txt,,
Armand Farrokh,4,30 Minutes to President's Club,Wzyq2u2-M3E,I Cold Called a Product I’ve Never Sold. Here’s What Happened.,https://www.youtube.com/watch?v=Wzyq2u2-M3E,1046.0,ok,19954,research/youtube-transcripts/armand-farrokh/4-Wzyq2u2-M3E-I Cold Called a Product I’ve Never Sold. Here’s What Happened..txt,,
Armand Farrokh,5,30 Minutes to President's Club,XJ4-PiouLA8,Cold Email Elimination: AI Slop vs Shakespearean Sonnet,https://www.youtube.com/watch?v=XJ4-PiouLA8,947.0,ok,18663,research/youtube-transcripts/armand-farrokh/5-XJ4-PiouLA8-Cold Email Elimination AI Slop vs Shakespearean Sonnet.txt,,
Armand Farrokh,6,30 Minutes to President's Club,iPWRkfhp09U,How You Win The Game Of Productivity (Sales Leaders Must Watch),https://www.youtube.com/watch?v=iPWRkfhp09U,1537.0,ok,28939,research/youtube-transcripts/armand-farrokh/6-iPWRkfhp09U-How You Win The Game Of Productivity (Sales Leaders Must Watch).txt,,
Armand Farrokh,7,30 Minutes to President's Club,gE3ujM-4xro,9 Psychological Sales Tactics to Instantly Raise Your Status,https://www.youtube.com/watch?v=gE3ujM-4xro,1812.0,ok,35339,research/youtube-transcripts/armand-farrokh/7-gE3ujM-4xro-9 Psychological Sales Tactics to Instantly Raise Your Status.txt,,
John Barrows,1,John Barrows,LkeKpUhGL3A,"How Fear Controls the Way We Lead, Sell, and Parent with Bryan Post",https://www.youtube.com/watch?v=LkeKpUhGL3A,3274.0,ok,52686,"research/youtube-transcripts/john-barrows/1-LkeKpUhGL3A-How Fear Controls the Way We Lead, Sell, and Parent with Bryan Post.txt",,
John Barrows,2,John Barrows,O_26K4-q0TY,AI Is Not a Strategy: How to Lead Real Transformation with Julie Averill,https://www.youtube.com/watch?v=O_26K4-q0TY,3516.0,ok,57054,research/youtube-transcripts/john-barrows/2-O_26K4-q0TY-AI Is Not a Strategy How to Lead Real Transformation with Julie Averill.txt,,
John Barrows,3,John Barrows,NlVM77SYKGs,How AI Agents Are Rewriting Sales with Kris Billmaier,https://www.youtube.com/watch?v=NlVM77SYKGs,3257.0,ok,58225,research/youtube-transcripts/john-barrows/3-NlVM77SYKGs-How AI Agents Are Rewriting Sales with Kris Billmaier.txt,,
John Barrows,4,John Barrows,Ey9Jy-Co4z8,Prepare for Any Sales Meeting | AI Prompt Pack DTC01 | JB Sales,https://www.youtube.com/watch?v=Ey9Jy-Co4z8,146.0,ok,2869,research/youtube-transcripts/john-barrows/4-Ey9Jy-Co4z8-Prepare for Any Sales Meeting AI Prompt Pack DTC01 JB Sales.txt,,
John Barrows,5,John Barrows,USAU2ZTwHwc,Know Your Sales Equation | AI Prompt Pack FTF01 | JB Sales,https://www.youtube.com/watch?v=USAU2ZTwHwc,109.0,ok,2153,research/youtube-transcripts/john-barrows/5-USAU2ZTwHwc-Know Your Sales Equation AI Prompt Pack FTF01 JB Sales.txt,,
John Barrows,6,John Barrows,2u-Ios9lsNk,Build Your Ideal Customer Profile | AI Prompt Pack FTF02 | JB Sales,https://www.youtube.com/watch?v=2u-Ios9lsNk,100.0,ok,2008,research/youtube-transcripts/john-barrows/6-2u-Ios9lsNk-Build Your Ideal Customer Profile AI Prompt Pack FTF02 JB Sales.txt,,
John Barrows,7,John Barrows,rc-ef5wHerY,Identify Your Trigger Events | AI Prompt Pack FTF03 | JB Sales,https://www.youtube.com/watch?v=rc-ef5wHerY,109.0,ok,2215,research/youtube-transcripts/john-barrows/7-rc-ef5wHerY-Identify Your Trigger Events AI Prompt Pack FTF03 JB Sales.txt,,
Sam McKenna,1,Samantha McKenna - #samsales,y5mzgEjY9TA,LinkedIn Sales Navigator Webinar Replay: 3 Searches That Fill Your Pipeline Fast,https://www.youtube.com/watch?v=y5mzgEjY9TA,3182.0,ok,59972,research/youtube-transcripts/sam-mckenna/1-y5mzgEjY9TA-LinkedIn Sales Navigator Webinar Replay 3 Searches That Fill Your Pipeline Fast.txt,,
Sam McKenna,2,Samantha McKenna - #samsales,LGk4dtwsFJc,Creating Urgency with Microsoft,https://www.youtube.com/watch?v=LGk4dtwsFJc,210.0,ok,3954,research/youtube-transcripts/sam-mckenna/2-LGk4dtwsFJc-Creating Urgency with Microsoft.txt,,
Sam McKenna,3,Samantha McKenna - #samsales,1oSzdP5ey30,Part 8:  The Breakup Email - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=1oSzdP5ey30,397.0,ok,7175,research/youtube-transcripts/sam-mckenna/3-1oSzdP5ey30-Part 8 The Breakup Email - Samantha McKenna with Salesloft.txt,,
Sam McKenna,4,Samantha McKenna - #samsales,vjLe24GXu1I,Part 7: The Nurture Phase - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=vjLe24GXu1I,198.0,ok,3270,research/youtube-transcripts/sam-mckenna/4-vjLe24GXu1I-Part 7 The Nurture Phase - Samantha McKenna with Salesloft.txt,,
Sam McKenna,5,Samantha McKenna - #samsales,lyxdgDNlFx4,Part 6:  The Active Selling Phase - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=lyxdgDNlFx4,305.0,ok,4833,research/youtube-transcripts/sam-mckenna/5-lyxdgDNlFx4-Part 6 The Active Selling Phase - Samantha McKenna with Salesloft.txt,,
Sam McKenna,6,Samantha McKenna - #samsales,GdFKRDQup0Q,Part 5: Email One - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=GdFKRDQup0Q,424.0,ok,6317,research/youtube-transcripts/sam-mckenna/6-GdFKRDQup0Q-Part 5 Email One - Samantha McKenna with Salesloft.txt,,
Sam McKenna,7,Samantha McKenna - #samsales,WPMzxZodePU,Part 4: The Buyer Persona - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=WPMzxZodePU,341.0,ok,5299,research/youtube-transcripts/sam-mckenna/7-WPMzxZodePU-Part 4 The Buyer Persona - Samantha McKenna with Salesloft.txt,,
Morgan J Ingram,1,Morgan J Ingram,aeu_fcrQM-w,How I'd Build $1.8M in B2B Pipeline From Scratch With Claude AI,https://www.youtube.com/watch?v=aeu_fcrQM-w,716.0,ok,12508,research/youtube-transcripts/morgan-j-ingram/1-aeu_fcrQM-w-How I'd Build $1.8M in B2B Pipeline From Scratch With Claude AI.txt,,
Morgan J Ingram,2,Morgan J Ingram,TG6t8prU3jk,How I Made My First $100K on LinkedIn (Step by Step Breakdown),https://www.youtube.com/watch?v=TG6t8prU3jk,1028.0,ok,18425,research/youtube-transcripts/morgan-j-ingram/2-TG6t8prU3jk-How I Made My First $100K on LinkedIn (Step by Step Breakdown).txt,,
Morgan J Ingram,3,Morgan J Ingram,7VnSopgJhqI,The Sales Navigator System That Built $30M in B2B Pipeline,https://www.youtube.com/watch?v=7VnSopgJhqI,800.0,ok,13828,research/youtube-transcripts/morgan-j-ingram/3-7VnSopgJhqI-The Sales Navigator System That Built $30M in B2B Pipeline.txt,,
Morgan J Ingram,4,Morgan J Ingram,l5rC2EDw1pU,How to Use Sales Navigator Like a Pro to Book an Extra Meeting,https://www.youtube.com/watch?v=l5rC2EDw1pU,2842.0,ok,42491,research/youtube-transcripts/morgan-j-ingram/4-l5rC2EDw1pU-How to Use Sales Navigator Like a Pro to Book an Extra Meeting.txt,,
Morgan J Ingram,5,Morgan J Ingram,x9gnC9zOtaU,The Secret Strategy to Turn Your Cold Leads Into Gold! (Inside of Sales Navigator),https://www.youtube.com/watch?v=x9gnC9zOtaU,97.0,ok,1937,research/youtube-transcripts/morgan-j-ingram/5-x9gnC9zOtaU-The Secret Strategy to Turn Your Cold Leads Into Gold! (Inside of Sales Navigator).txt,,
Morgan J Ingram,6,Morgan J Ingram,lOc1v7wghYg,Stop Small Talk! Use These 3 Questions to Master Networking,https://www.youtube.com/watch?v=lOc1v7wghYg,99.0,ok,2076,research/youtube-transcripts/morgan-j-ingram/6-lOc1v7wghYg-Stop Small Talk! Use These 3 Questions to Master Networking.txt,,
Morgan J Ingram,7,Morgan J Ingram,1Fo2pYofcNQ,The One Outbound Shift That Gave Two SDRs 29% More Opportunities.,https://www.youtube.com/watch?v=1Fo2pYofcNQ,3532.0,ok,64308,research/youtube-transcripts/morgan-j-ingram/7-1Fo2pYofcNQ-The One Outbound Shift That Gave Two SDRs 29% More Opportunities..txt,,
Josh Braun,1,Josh Braun,hpXev0vUcvQ,How to Make a Cold Call,https://www.youtube.com/watch?v=hpXev0vUcvQ,112.0,ok,1985,research/youtube-transcripts/josh-braun/1-hpXev0vUcvQ-How to Make a Cold Call.txt.txt,7,research/youtube-transcripts/josh-braun/1-hpXev0vUcvQ-How to Make a Cold Call.txt.txt
